work_ref,is_open,days_open,p_complete_horizon,hazard,hazard_pct,rs_exposure
MP3017470-W89459,False,263.0,,1.8618877751834297,0.821953972414057,0.0
MP3019181-W89490,True,851.0,0.11938039756633623,0.19388088706702258,0.004526715512788629,440309.8012168319
MP3017470-W89492,False,263.0,,1.8615746298748341,0.8218391904042239,0.0
MP3019109-W89494,False,565.0,,1.073868515622407,0.5307209266734261,0.0
MP3019181-W89495,True,851.0,0.2580704538089752,0.45523364271029865,0.10214642358387695,370964.7730955124
MP3019181-W89496,True,851.0,0.2574586987779701,0.4539766739956331,0.10068534425037783,742541.3012220298
MP3019181-W89497,True,851.0,0.2580704538089752,0.45523364271029865,0.10214642358387695,370964.7730955124
MP3019064-W89498,True,851.0,0.4921240091054897,1.0332594660125938,0.5035582423048227,507875.9908945103
MP3019064-W89499,True,851.0,0.46681945179328754,0.9591064967990336,0.44889809270560327,266590.27410335623
MP3019064-W89500,True,851.0,0.5013225552093581,1.0611343463524303,0.5237837889541446,249338.72239532095
MP3019064-W89501,True,851.0,0.5003635766583776,1.058204394454585,0.5224303177548639,499636.4233416224
MP3018954-W89502,True,851.0,0.2302550466014286,0.39910368390390033,0.08002936506418228,384872.4766992857
MP3018954-W89503,True,851.0,0.19778610880140945,0.33609400741884304,0.05361993763510799,401106.94559929526
MP3018954-W89504,True,851.0,0.2302550466014286,0.39910368390390033,0.08002936506418228,384872.4766992857
MP3019228-W89505,False,763.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89506,False,763.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89507,False,774.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89508,False,774.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89509,False,764.0,,2.222774619379066,0.8999076961337593,0.0
MP3019228-W89510,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89511,False,763.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89512,False,763.0,,1.9232885546237075,0.8551785816769651,0.0
MP3019064-W89515,True,851.0,0.42781809312391894,0.8514416525910927,0.39072752663899146,171654.57206282433
MP3019064-W89516,True,851.0,0.49377785609552305,1.0382337926045668,0.5053804067109215,151866.64317134308
MP3019228-W89517,False,774.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89521,False,763.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89522,False,763.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89523,False,764.0,,2.222774619379066,0.8999076961337593,0.0
MP3019228-W89525,True,851.0,0.7671791042711013,2.222761708523949,0.8991113959405429,41442.119439743976
MP3019064-W89528,True,851.0,0.5330618722393794,1.1614268242941737,0.5891043177166032,140081.43832818617
MP3018947-W89537,False,793.0,,1.3273111289049047,0.653640502745203,0.0
MP3018947-W89539,True,851.0,0.5811964424221558,1.3273460284828058,0.6545731065750962,159145.3518795808
MP3018947-W89540,True,851.0,0.4747893718137679,0.9820750970359742,0.4676553861458114,262605.31409311603
MP3018947-W89541,True,851.0,0.5403009725695107,1.1852556306772857,0.5974403611807243,229849.51371524466
MP3018947-W89542,True,851.0,0.5403009725695107,1.1852556306772857,0.5974403611807243,229849.51371524466
MP3018947-W89543,True,851.0,0.5403009725695107,1.1852556306772857,0.5974403611807243,229849.51371524466
MP3018947-W89544,False,793.0,,1.331482652181143,0.6672947793315861,0.0
MP3018947-W89545,False,793.0,,1.1829004770091767,0.5961251506513879,0.0
