work_ref,audit_value,cost_days,travel_cluster,cum_days,rs_exposure,priority,visit_order,state_name,recommended_amount,work_description
MP3044811-W220474,4685942.527941185,0.25,"West Bengal, Sitting Rajya Sabha",47.25,12287003.539359048,0.19068695280060233,96,West Bengal,13628575.0,Construction of RCC bridge at Raghabpur over Sindrani Baor Mouja Raghabpur JL no 02 under Sindrani Gram Panchayet in Bagdah Block
MP3019259-W127389,4658594.867833529,0.25,"Punjab, Sitting Rajya Sabha",47.5,0.0,0.15465954703332374,97,Punjab,15060806.0,"Various Development work to be carried out on the heritage street of Sri Darbar Sahib, Amritsar.
MPLAD grant of rupees One crore Fifty lakh Sixty thousand, Eight Hundred Six only"
MP3017242-W263631,4526005.007267121,0.25,"Karnataka, Sitting Rajya Sabha",47.75,4764547.425942681,0.47496693837312753,98,Karnataka,5000000.0,"Construction of Community Hall near Buddha Mandir at Basav Nagar, Ward No. 39 in Kalaburagi City (SCP)"
MP3018355-W38440,17828040.000000026,1.0,"Bihar, ARARIA",48.75,0.0,0.4461538461538468,99,Bihar,19979700.0,Installation of High Mast Light as per specification attach with the letter at 15 different locations
MP3018355-W36983,11678396.769230826,0.25,"Bihar, ARARIA",49.0,0.0,0.2923076923076937,100,Bihar,19976205.0,"Installation of High Mast Light as per specification attach with the letter at different locations. The locations are as below:-
1.	1.Hospital Chawk Narpatganj 2.Near four lane under pass, Narpatganj.3.Sundari Math Ke Pass, Kursakanta.4.Hatta Chawk, Kursakanta ke Pas.5. At the Main Road near Kursakanta Hospital Road Chauraha.6.Kali Mandir Chwok Par, Raniganj.7.Bus Stand Chowk Par, Raniganj. 8.Rani Saraswati Vidya Mandir ke Pas, Forbesganj.9. Madanpur Shiv Mandir Ke Pas, Araria."
MP3018355-W20613,5176693.199999999,0.25,"Bihar, ARARIA",49.25,,0.5249999999999999,101,Bihar,4930184.0,"1.  Jawahar Uchch Vidyalaya Bhargama.
2.  Utkramit Madhya Vidyalaya Rahariya sah Utkramit Madhyamik Vidyalaya Rahariya  Bhargama. 
3.  Utkramit Madhyamik Vidyalaya  Aadi Rampur  Bhargama.
4.  Aadarsh Madhya Vidyalaya Sissiya Kala Bhargama."
MP3018355-W20623,5176693.199999999,0.25,"Bihar, ARARIA",49.5,,0.5249999999999999,102,Bihar,4930184.0,"1.  Utkramit Madhyamik Vidyalaya Raghunathpur Bhargama.
2.  Shree Darbari Ray Uchch Vidyalaya Mahthawa  Bhargama.
3.  Deedar Bakhsh  Uchch Vidyalaya Beernagar Bisahariya, Bhargama.
4.  Utkramit Uchch Madhyamik Vidyalaya Jaynagar Bhargama."
MP3018355-W20626,5176693.199999999,0.25,"Bihar, ARARIA",49.75,,0.5249999999999999,103,Bihar,4930184.0,"1.  Utkramit Madhyamik Vidyalaya Pattipranpat Bhargama.
2.  Uchch Vidyalaya Simarbani Bhargama.
3.  Utkramit Uchch Vidyalaya Mangalwar Charaiya, Bhargama.
4.  Uchch  Madhyamik Vidyalaya Charaiya, Bhargama."
MP3018355-W20636,5176693.199999999,0.25,"Bihar, ARARIA",50.0,,0.5249999999999999,104,Bihar,4930184.0,"1.  Utkramit Uchchtar Madhyamik Vidyalaya Bhatgama Bhargama
2.  Utkramit Madhyamik Vidyalaya Sahebganj Narpatganj.
3.  Utkramit Uchch Madhyamik  Vidyalaya Dumarbanna Narpatganj.
4.  Utkramit Madhyamik Vidyalaya Bhawanipur Narpatganj"
MP3020008-W158192,4416938.412865147,0.25,"Delhi, EAST DELHI",50.25,2428856.6457554344,0.6061752581657436,105,Delhi,2500000.0,"Installation of STP Plant for park near Kala Niketan School, Ghazipur in W.No. 19E Shahdara South Zone"
MP3044299-W283045,4334018.6399545,0.25,"Andhra Pradesh, Sitting Rajya Sabha",50.5,3744937.3737074197,0.3857668996356629,106,Andhra Pradesh,4000000.0,"Construction of Community Hall in Ramapuram GP of Mantralayam Mandal, Kurnool District."
MP3017325-W194332,4312391.879384087,0.25,"Uttar Pradesh, Sitting Rajya Sabha",50.75,4886343.316568318,0.4412698412698397,107,Uttar Pradesh,8997000.0,"BLOCK  AROAN. GRAM PANCHAYAT SARAKH  KE GRAM NAGLA ATIYA MEIN SELAM SINGH KE GHAR SE SADHAN SINGH KE GHAR TAK C.C. ROAD NIRMAN WORK WITH TWO SIDE NALI. LENGTH 900 Mtrs. Cost 90 Lac. Contact Person Rambhai,  8882224686"
MP3017290-W240538,17215437.33314707,1.0,"Rajasthan, Sitting Rajya Sabha",51.75,8912663.862632792,0.643856786197015,108,Rajasthan,10000000.0,"Construction of RCC Chambers G plus 1 at Rajasthan High Court, Jodhpur"
MP3017512-W135897,11410211.735545827,0.25,"Rajasthan, Sitting Rajya Sabha",52.0,9508509.779621523,0.6,109,Rajasthan,15000000.0,"Drainage system work of Dhanna Talai’s water at Nagar Parishad Tonk, District Tonk"
