work_ref,audit_value,cost_days,travel_cluster,cum_days,rs_exposure,priority,visit_order,state_name,recommended_amount,work_description
MP3043284-W198279,8957696.258849304,1.0,"Telangana, NAGARKURNOOL(SC)",96.75,7464746.882374421,0.6,228,Telangana,10000000.0,Construction of Class Rooms and Toilets for Mandal Parishath Upper Primary School at Desitikyal Nagarkurnool District
MP3017224-W254947,2219019.367353681,0.25,"Assam, Sitting Rajya Sabha",97.0,1931866.254466583,0.5743201327274039,229,Assam,2000000.0,Construction Of Community hall Near Sahid Khargeswar Talukdar Bhawan at Chamata Pathar Sonapur
MP3042430-W268656,8803153.45336772,1.0,"Odisha, KENDRAPARA",98.0,6094026.665375077,0.4815181563166494,230,Odisha,6400000.0,"Construction of Conference Hall on the 1st floor of District Bar Association to be fully completed inside Old Court premises, Ward No.14, Kendrapara Municipality, Kendrapara  754211"
MP3019113-W64395,6952637.2099673115,0.25,"Odisha, KENDRAPARA",98.25,0.0,0.2491984663070721,231,Odisha,9300000.0,"Purchase of Hydraulic tipping truck mounted road sweeping machine 
vacuum based mounted on 12 TON GVW BS -6 Engine Chassis for 
Kendrapara Municipality"
MP3019113-W39956,5907698.738287855,0.25,"Odisha, KENDRAPARA",98.5,0.0,0.4534506791428651,232,Odisha,4342772.0,"1.	Installation of 3 nos of Outdoor LED Display – Pixel Pitch 6-mm, Audio System
Smart Power Distribution Unit, LED Control System, Management 
Software with Cloud Publishing, Live Streaming, Mechanical Structure 
for Mounting of LED Walls, Desktop PC Interface Device, 
Network Switch, Auto Brightness Sensor, GSM Router 
of 12*8 square feet LED wall in Kendrapara Municipality area."
MP3042430-W278194,3146788.3824864635,0.25,"Odisha, KENDRAPARA",98.75,3307365.3664574283,0.3171495570059579,233,Odisha,3500000.0,"Construction of Kalyan Mandap to be fully completed at Ainipada, GP- Narasinghpur, Block- Pattamundai, Kendrapara"
MP3042430-W228540,3046131.157416608,0.25,"Odisha, KENDRAPARA",99.0,3761838.4061480956,0.2699151167186604,234,Odisha,4000000.0,"Construction of Gopabandhu Library Hall to be fully completed near DRDA office, Ward No.21, Kendrapara Municipality, Kendrapara"
MP3042430-W278193,2958118.0739821685,0.25,"Odisha, KENDRAPARA",99.25,1906687.0750639227,0.5171479740381618,235,Odisha,2000000.0,"Construction of one Conference Hall of Hatasahi Nodal High School to be fully completed at Hatasahi, Rajkanika Block, Kendrapara"
MP3042298-W244711,2186629.763321352,0.25,"Assam, Diphu (ST)",99.5,1929845.9604856188,0.566529611195268,236,Assam,2000000.0,"Construction of Community Hall cum Training Centre at Ar-eh Phirthak Aboha, Bura Teron gaon, Longnit"
MP3017368-W277874,2182964.635829442,0.25,"Odisha, Sitting Rajya Sabha",99.75,1429609.7378829939,0.5089884737965942,237,Odisha,1500000.0,"Construction of Prayer Hall-cum-Conference Hall at Saraswati Shishu Vidya Mandir, Haladia, Kendrapada, Odisha."
MP3019246-W244807,2173255.181623221,0.25,"Assam, Sitting Rajya Sabha",100.0,4245190.868756839,0.2559667219697517,238,Assam,4500000.0,"Construction of road from Sayaram House to Bengtal to Birhangaon PWD road under Kadamtala VCDC, Sidli Dev. Block, Chirang."
